question,answer_en,answer_hi,answer_mr
Can arts students do BBA? ,"Yes, art students can do BBA. After passing their 12th with arts stream, many students ask the question, wish to pursue business management and business administration. These students can easily pursue BBA and enroll in an MBA course after that. Since BBA and MBA course curriculum deals with general industry-based subjects like sales, marketing, international business, finance, etc., art students can very well excel in these courses. After getting an MBA degree from reputed management colleges, arts stream students can easily get placements in multinational companies. So, the answer to the question ‘can arts student do BBA’ is pretty clear!","हां, कला के छात्र बीबीए कर सकते हैं। आर्ट्स स्ट्रीम से 12वीं पास करने के बाद, कई छात्र सवाल पूछते हैं, बिजनेस मैनेजमेंट और बिजनेस एडमिनिस्ट्रेशन करना चाहते हैं। ये छात्र आसानी से बीबीए कर सकते हैं और उसके बाद एमबीए कोर्स में दाखिला ले सकते हैं। चूंकि बीबीए और एमबीए पाठ्यक्रम सामान्य उद्योग-आधारित विषयों जैसे बिक्री, विपणन, अंतर्राष्ट्रीय व्यापार, वित्त, आदि से संबंधित है, कला के छात्र इन पाठ्यक्रमों में बहुत अच्छी तरह से उत्कृष्टता प्राप्त कर सकते हैं। प्रतिष्ठित प्रबंधन कॉलेजों से एमबीए की डिग्री प्राप्त करने के बाद, कला स्ट्रीम के छात्र बहुराष्ट्रीय कंपनियों में आसानी से प्लेसमेंट प्राप्त कर सकते हैं। तो, 'क्या कला के छात्र बीबीए कर सकते हैं' प्रश्न का उत्तर बहुत स्पष्ट है!","होय, कलेचे विद्यार्थी बीबीए करू शकतात. कला शाखेत बारावी उत्तीर्ण झाल्यावर अनेक विद्यार्थी प्रश्न विचारतात, व्यवसाय व्यवस्थापन आणि व्यवसाय प्रशासन करायचे आहे. हे विद्यार्थी सहजपणे बीबीए करू शकतात आणि त्यानंतर एमबीए कोर्समध्ये प्रवेश घेऊ शकतात. बीबीए आणि एमबीए अभ्यासक्रम हा सामान्य उद्योग-आधारित विषय जसे की विक्री, विपणन, आंतरराष्ट्रीय व्यवसाय, वित्त इत्यादींशी संबंधित असल्याने, कला विद्यार्थी या अभ्यासक्रमांमध्ये उत्कृष्ट कामगिरी करू शकतात. नामांकित व्यवस्थापन महाविद्यालयातून एमबीए पदवी प्राप्त केल्यानंतर, कला शाखेच्या विद्यार्थ्यांना बहुराष्ट्रीय कंपन्यांमध्ये सहजपणे प्लेसमेंट मिळू शकते. तर, ‘कलेचे विद्यार्थी बीबीए करू शकतात का’ या प्रश्नाचे उत्तर अगदी स्पष्ट आहे!"
What is Integrated Law course?,"As the name suggests, and integrated law course refers to dual degrees, one being Bachelor of Arts (B.A.) and the other being Bachelor of Legislative Law (L.L.B.). Since it combines two full-fledged courses, the course duration is 5 years, divided into ten semesters. The biggest perk of pursuing an integrated law course is that you can obtain dual degrees within the scope of one curriculum. It is the best career options for students who are wondering what to do after 12th arts and interested in law.","जैसा कि नाम से पता चलता है, और एकीकृत कानून पाठ्यक्रम दोहरी डिग्री को संदर्भित करता है, एक बैचलर ऑफ आर्ट्स (बीए) और दूसरा बैचलर ऑफ लेजिस्लेटिव लॉ (एलएलबी) है। चूंकि यह दो पूर्ण पाठ्यक्रमों को जोड़ती है, पाठ्यक्रम की अवधि 5 वर्ष है, जिसे दस सेमेस्टर में विभाजित किया गया है। एक एकीकृत कानून पाठ्यक्रम को आगे बढ़ाने का सबसे बड़ा लाभ यह है कि आप एक पाठ्यक्रम के दायरे में दोहरी डिग्री प्राप्त कर सकते हैं। यह उन छात्रों के लिए सबसे अच्छा करियर विकल्प है जो सोच रहे हैं कि 12 वीं कला के बाद क्या करना चाहिए और कानून में रुचि रखते हैं।","नावाप्रमाणेच, आणि एकात्मिक कायद्याचा अभ्यासक्रम म्हणजे दुहेरी पदवी, एक बॅचलर ऑफ आर्ट्स (B.A.) आणि दुसरा बॅचलर ऑफ लेजिस्लेटिव्ह लॉ (L.L.B.). हे दोन पूर्ण-प्रगत अभ्यासक्रम एकत्र करत असल्याने, अभ्यासक्रमाचा कालावधी 5 वर्षांचा आहे, दहा सेमिस्टरमध्ये विभागलेला आहे. एकात्मिक कायदा अभ्यासक्रमाचा पाठपुरावा करण्याचा सर्वात मोठा फायदा म्हणजे तुम्ही एका अभ्यासक्रमाच्या व्याप्तीमध्ये दुहेरी पदवी मिळवू शकता. 12वी नंतर काय करावं या विचारात असलेल्या आणि कायद्यात रस असलेल्या विद्यार्थ्यांसाठी करिअरचा सर्वोत्तम पर्याय आहे."
What are the Career Options After 12th Arts ?,"1. Bachelor of Arts (B.A.)
2. Bachelor of Fine Arts (B.F.A.)
3. Bachelor of Business Administration (B.B.A.)
4. Integrated Law course (B.A + L.L.B.)
5. Bachelor of Journalism and Mass Communication (B.J.M.)
6. Bachelor of Hotel Management (B.H.M.)","1. कला स्नातक (बीए)
2. ललित कला स्नातक (बी.एफ.ए.)
3. बैचलर ऑफ बिजनेस एडमिनिस्ट्रेशन (बी.बी.ए.)
4. इंटीग्रेटेड लॉ कोर्स (B.A + L.L.B.)
5. बैचलर ऑफ जर्नलिज्म एंड मास कम्युनिकेशन (बी.जे.एम.)
6. बैचलर ऑफ होटल मैनेजमेंट (बी.एच.एम.)","1. बॅचलर ऑफ आर्ट्स (B.A.)
2. बॅचलर ऑफ फाइन आर्ट्स (B.F.A.)
3. बॅचलर ऑफ बिझनेस अॅडमिनिस्ट्रेशन (B.B.A.)
4. एकात्मिक कायदा अभ्यासक्रम (B.A + L.L.B.)
5. बॅचलर ऑफ जर्नालिझम अँड मास कम्युनिकेशन (B.J.M.)
6. बॅचलर ऑफ हॉटेल मॅनेजमेंट (B.H.M.)"
What are the Government jobs after 12th?,"After completing their 12th class, candidates can apply for government jobs such as RRB ALP, SSC CHSL, SSC MTS, SSC Stenographer, SSC GD, Indian Coastal Guard, and others. The educational requirements for various government tests vary depending on the position. An applicant must, however, have a minimum qualification of 12th Certificate to qualify for a government exam. General Awareness, Reasoning Ability, Quantitative Aptitude, and English are all common subjects in government exams.","अपनी 12 वीं कक्षा पूरी करने के बाद, उम्मीदवार सरकारी नौकरियों जैसे आरआरबी एएलपी, एसएससी सीएचएसएल, एसएससी एमटीएस, एसएससी स्टेनोग्राफर, एसएससी जीडी, इंडियन कोस्टल गार्ड और अन्य के लिए आवेदन कर सकते हैं। विभिन्न सरकारी परीक्षणों के लिए शैक्षिक आवश्यकताएं स्थिति के आधार पर भिन्न होती हैं। हालांकि, एक सरकारी परीक्षा के लिए अर्हता प्राप्त करने के लिए आवेदक के पास न्यूनतम 12वीं प्रमाणपत्र होना चाहिए। सरकारी परीक्षाओं में जनरल अवेयरनेस, रीजनिंग एबिलिटी, क्वांटिटेटिव एप्टीट्यूड और अंग्रेजी सभी सामान्य विषय हैं।","12वी वर्ग पूर्ण केल्यानंतर, उमेदवार RRB ALP, SSC CHSL, SSC MTS, SSC स्टेनोग्राफर, SSC GD, Indian Coastal Guard आणि इतर सारख्या सरकारी नोकऱ्यांसाठी अर्ज करू शकतात. विविध सरकारी चाचण्यांसाठी शैक्षणिक आवश्यकता पदानुसार बदलतात. तथापि, सरकारी परीक्षेसाठी पात्र होण्यासाठी अर्जदाराकडे किमान 12 वी प्रमाणपत्र असणे आवश्यक आहे. जनरल अवेअरनेस, रिझनिंग एबिलिटी, क्वांटिटेटिव्ह अ‍ॅप्टिट्यूड आणि इंग्रजी हे सर्व सरकारी परीक्षांमध्ये सामान्य विषय आहेत."
What jobs are available in railways after 12th?,"The Indian Railways offer a variety of government positions with decent incomes after completing the 12th grade. The following is a list of well-known railway jobs:

Name of the Exam	Government Post	Age Limit	Locations	Salary
RRB NTPC	Trains Clerk	18-30 years	All over India	Level 2 - 7th CPC
Ticket Clerk	18-30 years	All over India	Level 3 - 7th CPC
Accounts Clerk cum Typist	18-30 years	All over India	Level 2 - 7th CPC
Junior Time Keeper	18-30 years	All over India	Level 2 - 7th CPC
RRB ALP	Assistant Loco Pilot	18-30 years	All over India	Level 2 - 7th CPC
Technicians	18-30 years	All over India	Level 2 - 7th CPC
SER Recruitment	Commercial Cum Ticket Clerk	18-42 years	All over India	Payscale 5200-20200
Typist","भारतीय रेलवे 12 वीं कक्षा को पूरा करने के बाद अच्छी आय के साथ कई तरह के सरकारी पदों की पेशकश करता है। निम्नलिखित प्रसिद्ध रेलवे नौकरियों की सूची है:

परीक्षा का नाम सरकार पोस्ट आयु सीमा स्थान वेतन
आरआरबी एनटीपीसी पूरे भारत में 18-30 साल के क्लर्क को प्रशिक्षित करता है लेवल 2 - 7वां सीपीसी
टिकट क्लर्क 18-30 वर्ष पूरे भारत में स्तर 3 - 7वीं सीपीसी
लेखा लिपिक सह टाइपिस्ट 18-30 वर्ष पूरे भारत में स्तर 2 - 7वीं सीपीसी
जूनियर टाइम कीपर 18-30 साल पूरे भारत में लेवल 2 - 7वीं सीपीसी
आरआरबी एएलपी सहायक लोको पायलट 18-30 वर्ष पूरे भारत में स्तर 2 - 7वीं सीपीसी
तकनीशियन 18-30 वर्ष पूरे भारत में स्तर 2 - 7वीं सीपीसी
एसईआर भर्ती वाणिज्यिक सह टिकट क्लर्क 18-42 वर्ष पूरे भारत में वेतनमान 5200-20200
टाइपिस्ट","भारतीय रेल्वे 12वी इयत्ता पूर्ण केल्यानंतर चांगल्या उत्पन्नासह विविध सरकारी पदे देतात. खालील सुप्रसिद्ध रेल्वे नोकऱ्यांची यादी आहे:

परीक्षेचे नाव सरकारी वयोमर्यादा पदाची जागा वेतन
RRB NTPC ट्रेन्स क्लर्क 18-30 वर्षे संपूर्ण भारत स्तर 2 - 7 वी CPC
तिकीट लिपिक 18-30 वर्षे संपूर्ण भारत स्तर 3 - 7 वी CPC
लेखा लिपिक सह टंकलेखक 18-30 वर्षे संपूर्ण भारत स्तर 2 - 7 वी सीपीसी
कनिष्ठ टाइम कीपर १८-३० वर्षे संपूर्ण भारत स्तर २ - ७ वी सीपीसी
RRB ALP असिस्टंट लोको पायलट 18-30 वर्षे संपूर्ण भारत स्तर 2 - 7 वी CPC
तंत्रज्ञ 18-30 वर्षे संपूर्ण भारत स्तर 2 - 7 वी CPC
एसईआर भर्ती व्यावसायिक कम तिकीट लिपिक 18-42 वर्षे संपूर्ण भारत वेतन स्केल 5200-20200
टायपिस्ट"
What are some top engineering entrance exams?,"JEE Main
National Testing Agency (NTA)*

VITEEE
VIT University

SRMJEEE
SRM Institute of Science and Technology (Earlier known as SRM University)

BITSAT
BITS Pilani

MET
Manipal Academy of Higher Education

COMEDK UGET
Consortium of Medical Engineering and Dental Colleges of Karnataka (COMEDK).","जेईई मेन
राष्ट्रीय परीक्षण एजेंसी (एनटीए)*

Viteee
वीआईटी विश्वविद्यालय

एसआरएमजेईई
SRM विज्ञान और प्रौद्योगिकी संस्थान (पहले SRM विश्वविद्यालय के रूप में जाना जाता था)

बिटसैट
बिट्स पिलानी

मुलाकात की
मणिपाल उच्च शिक्षा अकादमी

COMEDK UGET
कर्नाटक के मेडिकल इंजीनियरिंग और डेंटल कॉलेजों का संघ (COMEDK)।","जेईई मेन
नॅशनल टेस्टिंग एजन्सी (NTA)*

VITEEE
व्हीआयटी विद्यापीठ

SRMJEEE
SRM इन्स्टिट्यूट ऑफ सायन्स अँड टेक्नॉलॉजी (पूर्वी SRM विद्यापीठ म्हणून ओळखले जाणारे)

BITSAT
BITS पिलानी

भेटले
मणिपाल अकादमी ऑफ हायर एज्युकेशन

COMEDK UGET
कन्सोर्टियम ऑफ मेडिकल इंजिनिअरिंग अँड डेंटल कॉलेज ऑफ कर्नाटक (COMEDK)."
How to become a doctor?,"In order to become a Doctor After 12th, aspiring candidates must pursue Science after their secondary education and then pursue MBBS whose duration is for 5 years. Admission to MBBS is done on the basis of Medical Entrance Exam such as NEET 2022, conducted once a year. Students aspiring to become a Doctor can pursue any Undergraduate and Postgraduate Medical Courses from some of the Top Medical Colleges across the country.

Students aspiring to become a Doctor without NEET can pursue various other Undergraduate and Postgraduate Courses such as Pharmacy Courses, Paramedical Courses, Nursing Courses etc. The average time taken to become a Doctor after 12th usually ranges between 6-7 years, which includes clearing entrance exams and completing the 5 year MBBS degree. Some of the best and most pursued Doctor specialization include Dermatology, Ophthalmology, Cardiology, Radiology etc.","डॉक्टर बनने के लिए 12वीं के बाद, इच्छुक उम्मीदवारों को अपनी माध्यमिक शिक्षा के बाद विज्ञान का पीछा करना चाहिए और फिर एमबीबीएस करना चाहिए जिसकी अवधि 5 वर्ष है। एमबीबीएस में प्रवेश मेडिकल प्रवेश परीक्षा जैसे एनईईटी 2022 के आधार पर किया जाता है, जो साल में एक बार आयोजित किया जाता है। डॉक्टर बनने के इच्छुक छात्र देश भर के कुछ शीर्ष मेडिकल कॉलेजों से स्नातक और स्नातकोत्तर मेडिकल कोर्स कर सकते हैं।

एनईईटी के बिना डॉक्टर बनने के इच्छुक छात्र कई अन्य अंडरग्रेजुएट और पोस्टग्रेजुएट कोर्स जैसे फार्मेसी कोर्स, पैरामेडिकल कोर्स, नर्सिंग कोर्स आदि कर सकते हैं। 12 वीं के बाद डॉक्टर बनने में लगने वाला औसत समय आमतौर पर 6-7 साल के बीच होता है, जिसमें क्लियरिंग एंट्रेंस भी शामिल है। परीक्षा और 5 साल की एमबीबीएस डिग्री पूरी करना। कुछ बेहतरीन और सबसे अधिक खोजी जाने वाली डॉक्टर विशेषज्ञता में त्वचाविज्ञान, नेत्र विज्ञान, कार्डियोलॉजी, रेडियोलॉजी आदि शामिल हैं।","12वी नंतर डॉक्टर होण्यासाठी इच्छुक उमेदवारांनी त्यांच्या माध्यमिक शिक्षणानंतर विज्ञान आणि त्यानंतर एमबीबीएसचा पाठपुरावा केला पाहिजे ज्याचा कालावधी 5 वर्षांचा आहे. MBBS मध्ये प्रवेश वर्षातून एकदा घेतल्या जाणाऱ्या NEET 2022 सारख्या वैद्यकीय प्रवेश परीक्षेच्या आधारे केला जातो. डॉक्टर बनण्याची इच्छा असलेले विद्यार्थी देशभरातील काही प्रमुख वैद्यकीय महाविद्यालयांमधून पदवीपूर्व आणि पदव्युत्तर वैद्यकीय अभ्यासक्रम करू शकतात.

NEET शिवाय डॉक्टर बनण्याची इच्छा असलेले विद्यार्थी फार्मसी कोर्सेस, पॅरामेडिकल कोर्सेस, नर्सिंग कोर्सेस इत्यादी इतर विविध अंडरग्रेजुएट आणि पोस्ट ग्रॅज्युएट कोर्स करू शकतात. 12वी नंतर डॉक्टर होण्यासाठी लागणारा सरासरी वेळ साधारणतः 6-7 वर्षांच्या दरम्यान असतो, ज्यामध्ये क्लिअरिंग प्रवेशाचा समावेश होतो. परीक्षा आणि 5 वर्षांची एमबीबीएस पदवी पूर्ण करणे. काही सर्वोत्कृष्ट आणि सर्वाधिक पाठपुरावा केलेल्या डॉक्टर स्पेशलायझेशनमध्ये त्वचाविज्ञान, नेत्रविज्ञान, कार्डिओलॉजी, रेडिओलॉजी इ."
What are the Various scholarships for engineering students ?,"1.Post Matric Scholarships Scheme for Minorities

2.Merit Cum Means Scholarship for Professional and Technical Courses CS (Minorities)

3. Scholarships for Top Class Education for Students with Disabilities

4.Prime Minister’s Scholarship Scheme for Central Armed Police Forces and Assam Rifles

5.Post Matric Scholarship for Students with Disabilities

6.Central Sector Scheme of Scholarship for College and University Students

7.Financial Assistance for Education of the Wards of Beedi/Cine/IOMC/LSDM Workers – Post-Matric","1. अल्पसंख्यकों के लिए पोस्ट मैट्रिक छात्रवृत्ति योजना

2.मेरिट कम मीन्स स्कॉलरशिप फॉर प्रोफेशनल एंड टेक्निकल कोर्सेज सीएस (अल्पसंख्यक)

3. विकलांग छात्रों के लिए उच्च श्रेणी की शिक्षा के लिए छात्रवृत्ति

4.केंद्रीय सशस्त्र पुलिस बलों और असम राइफल्स के लिए प्रधानमंत्री छात्रवृत्ति योजना

5.विकलांग छात्रों के लिए पोस्ट मैट्रिक छात्रवृत्ति

6. कॉलेज और विश्वविद्यालय के छात्रों के लिए केंद्रीय क्षेत्र की छात्रवृत्ति योजना

7. बीड़ी/सिने/आईओएमसी/एलएसडीएम कार्यकर्ताओं के बच्चों की शिक्षा के लिए वित्तीय सहायता - मैट्रिक के बाद","1.अल्पसंख्याकांसाठी पोस्ट मॅट्रिक शिष्यवृत्ती योजना

2.मेरिट कम म्हणजे व्यावसायिक आणि तांत्रिक अभ्यासक्रमांसाठी शिष्यवृत्ती CS (अल्पसंख्याक)

3. अपंग विद्यार्थ्यांसाठी उच्च श्रेणीतील शिक्षणासाठी शिष्यवृत्ती

4.केंद्रीय सशस्त्र पोलीस दल आणि आसाम रायफल्ससाठी पंतप्रधान शिष्यवृत्ती योजना

5. अपंग विद्यार्थ्यांसाठी पोस्ट मॅट्रिक शिष्यवृत्ती

6.कॉलेज आणि विद्यापीठातील विद्यार्थ्यांसाठी शिष्यवृत्तीची केंद्रीय क्षेत्र योजना

7. बिडी/सिने/IOMC/LSDM कामगारांच्या वार्डांच्या शिक्षणासाठी आर्थिक सहाय्य - मॅट्रिकोत्तर"
What are the  scholarships available for women engineers?,"1.        Adobe India Women-in-Technology Scholarship        Adobe-India        July to October
2.        Glow and Lovely Foundation Scholarship        Glow and Lovely Foundation        August to October
3.        Dr Reddy’s Foundation Sashakt Scholarship        Dr Reddy’s Foundation        June to August
4.        Bigyani Kanya Medha Britti Scholarship (JBNSTS), West Bengal        Jagadis Bose National Science Talent Search (JBNSTS), Kolkata        May to July
5.        L’Oréal India For Young Women in Science Scholarship        L’Oréal India        May to July
6.        UGAM – Legrand Scholarship Program        Legrand India        June to July","1. एडोब इंडिया वूमेन-इन-टेक्नोलॉजी स्कॉलरशिप एडोब-इंडिया जुलाई से अक्टूबर
2. ग्लो एंड लवली फाउंडेशन स्कॉलरशिप ग्लो एंड लवली फाउंडेशन अगस्त से अक्टूबर
3. डॉ रेड्डीज फाउंडेशन सशक्त छात्रवृत्ति डॉ रेड्डीज फाउंडेशन जून से अगस्त
4. बिगयानी कन्या मेधा ब्रिटी छात्रवृत्ति (जेबीएनएसटीएस), पश्चिम बंगाल जगदीस बोस राष्ट्रीय विज्ञान प्रतिभा खोज (जेबीएनएसटीएस), कोलकाता मई से जुलाई
5. लोरियल इंडिया फॉर यंग वूमेन इन साइंस स्कॉलरशिप लोरियल इंडिया मई से जुलाई
6. यूजीएएम - लग्रों छात्रवृत्ति कार्यक्रम लग्रों भारत जून से जुलाई","1. Adobe India वुमन-इन-टेक्नॉलॉजी शिष्यवृत्ती Adobe-India जुलै ते ऑक्टोबर
2. ग्लो अँड लव्हली फाउंडेशन शिष्यवृत्ती ग्लो अँड लव्हली फाउंडेशन ऑगस्ट ते ऑक्टोबर
3. डॉ रेड्डीज फाऊंडेशन सशक्त शिष्यवृत्ती डॉ रेड्डीज फाऊंडेशन जून ते ऑगस्ट
4. बिगयानी कन्या मेधा ब्रिटी शिष्यवृत्ती (JBNSTS), पश्चिम बंगाल जगदीस बोस राष्ट्रीय विज्ञान प्रतिभा शोध (JBNSTS), कोलकाता मे ते जुलै
5. लॉरिअल इंडिया तरुण महिलांसाठी विज्ञान शिष्यवृत्ती L'Oreal India मे ते जुलै
6. UGAM – Legrand Scholarship Program Legrand India जून ते जुलै"
What are the Scholarships after 12th ?,"Top Indian Students Scholarships 2022
Raman Kant Munjal Scholarship After 12th
AICTE-Saksham Scholarship Scheme
National Entrance Screening Test (NEST)
Gaon Ki Beti Scholarship For Girls, Madhya Pradesh
Pratibha Kiran Scholarship 12th Pass Girl Students
Loreal India For Young Women in Science Scholarship
Sterling and Wilson Solar Scholarship for Class 12 students
Gandhi Fellowship
National Level Science Talent Search Examination (NSTSE)
Shiksha Sahyog Scholarship for 12th Students
India Fellow Social Leadership Program
National Economics Olympiad 2022
SOF International Mathematics Olympiad (IMO)","शीर्ष भारतीय छात्र छात्रवृत्ति 2022
12वीं के बाद रमन कांत मुंजाल छात्रवृत्ति
एआईसीटीई-सक्षम छात्रवृत्ति योजना
नेशनल एंट्रेंस स्क्रीनिंग टेस्ट (NEST)
लड़कियों के लिए गांव की बेटी छात्रवृत्ति, मध्य प्रदेश
प्रतिभा किरण छात्रवृत्ति 12वीं पास छात्राएं
लोरियल इंडिया फॉर यंग वूमेन इन साइंस स्कॉलरशिप
कक्षा 12 के छात्रों के लिए स्टर्लिंग और विल्सन सोलर स्कॉलरशिप
गांधी फैलोशिप
राष्ट्रीय स्तर की विज्ञान प्रतिभा खोज परीक्षा (एनएसटीएसई)
12वीं के छात्रों के लिए शिक्षा सहयोग छात्रवृत्ति
इंडिया फेलो सोशल लीडरशिप प्रोग्राम
राष्ट्रीय अर्थशास्त्र ओलंपियाड 2022
SOF अंतर्राष्ट्रीय गणित ओलंपियाड (IMO)","शीर्ष भारतीय विद्यार्थी शिष्यवृत्ती 2022
बारावीनंतर रमणकांत मुंजाल शिष्यवृत्ती
AICTE-सक्षम शिष्यवृत्ती योजना
राष्ट्रीय प्रवेश तपासणी चाचणी (NEST)
मुलींसाठी गाव की बेटी शिष्यवृत्ती, मध्य प्रदेश
प्रतिभा किरण शिष्यवृत्ती 12वी उत्तीर्ण विद्यार्थिनी
विज्ञान शिष्यवृत्तीत तरुण महिलांसाठी लोरेल इंडिया
12वीच्या विद्यार्थ्यांसाठी स्टर्लिंग आणि विल्सन सोलर शिष्यवृत्ती
गांधी फेलोशिप
राष्ट्रीय स्तरावरील विज्ञान प्रतिभा शोध परीक्षा (NSTSE)
१२वीच्या विद्यार्थ्यांसाठी शिक्षा सहयोग शिष्यवृत्ती
इंडिया फेलो सोशल लीडरशिप प्रोग्राम
राष्ट्रीय अर्थशास्त्र ऑलिम्पियाड २०२२
SOF आंतरराष्ट्रीय गणित ऑलिम्पियाड (IMO)"
How to prepare for UPSC after 12th?,"To prepare for the UPSC exam, keep these things in mind-
To clear any exam, first, you should make a goal.
You should gather all the information about the exam pattern syllabus and make a strategy.
Moreover, You need to devote your time. It would be better to study as per the timetable.
One should remain updated with the current happenings. One should make a habit of reading current affairs.
Also, to make your knowledge effectively, it is recommended to study from NCERT books of class 6th – 12th. You can also take help from other reference books.
Prepare from previous years papers and also give the mock tests.
You can also look out for various online as well as offline coaching.","UPSC परीक्षा की तैयारी के लिए इन बातों का रखें ध्यान-
किसी भी परीक्षा को पास करने के लिए सबसे पहले आपको एक लक्ष्य बनाना चाहिए।
आपको परीक्षा पैटर्न पाठ्यक्रम के बारे में सारी जानकारी एकत्र करनी चाहिए और एक रणनीति बनानी चाहिए।
इसके अलावा, आपको अपना समय समर्पित करने की आवश्यकता है। समय सारिणी के अनुसार पढ़ाई करना बेहतर होगा।
वर्तमान घटनाओं से अपडेट रहना चाहिए। करेंट अफेयर्स पढ़ने की आदत डालनी चाहिए।
साथ ही, अपने ज्ञान को प्रभावी ढंग से बनाने के लिए, कक्षा 6 वीं - 12 वीं की एनसीईआरटी की पुस्तकों से अध्ययन करने की सलाह दी जाती है। आप अन्य संदर्भ पुस्तकों की भी मदद ले सकते हैं।
पिछले वर्षों के प्रश्नपत्रों से तैयारी करें और मॉक टेस्ट भी दें।
आप विभिन्न ऑनलाइन और ऑफलाइन कोचिंग भी देख सकते हैं।","यूपीएससी परीक्षेची तयारी करण्यासाठी या गोष्टी लक्षात ठेवा-
कोणतीही परीक्षा उत्तीर्ण होण्यासाठी, प्रथम, आपण ध्येय निश्चित केले पाहिजे.
परीक्षेच्या पॅटर्नच्या अभ्यासक्रमाची सर्व माहिती गोळा करून रणनीती बनवावी.
शिवाय, तुम्हाला तुमचा वेळ द्यावा लागेल. वेळापत्रकानुसार अभ्यास करणे चांगले.
सध्याच्या घडामोडींबाबत अपडेट राहिले पाहिजे. चालू घडामोडी वाचण्याची सवय लावली पाहिजे.
तसेच, तुमचे ज्ञान प्रभावीपणे करण्यासाठी, इयत्ता 6 वी ते 12 वी च्या NCERT पुस्तकांमधून अभ्यास करण्याची शिफारस केली जाते. तुम्ही इतर संदर्भ पुस्तकांचीही मदत घेऊ शकता.
मागील वर्षांच्या पेपरची तयारी करा आणि मॉक टेस्ट देखील द्या.
आपण विविध ऑनलाइन तसेच ऑफलाइन कोचिंग देखील पाहू शकता."
